num_queries,nlist,nprobe,query_time,recall
30000,1204,10,3.5530985580000003,0.7138233333333334
30000,1204,20,6.517593166,0.8056633333333333
30000,1204,30,9.325116765,0.8488666666666667
30000,1204,40,12.315890727000001,0.8754266666666667
30000,1204,50,15.186848093000002,0.8935466666666667
30000,1204,60,18.113904392000002,0.9070133333333333
30000,1204,70,23.451367100000002,0.9167966666666667
30000,1204,80,25.613026145000003,0.9250133333333334
30000,1204,90,28.354758458000003,0.9317633333333334
30000,1204,100,29.749223030000003,0.93739
30000,1204,110,32.697402609,0.9423933333333333
30000,1204,120,37.501082386,0.9466266666666666
30000,1204,130,40.25675477,0.95022
30000,1204,140,44.491696260000005,0.95317
30000,1204,150,45.315277508,0.9561333333333333
30000,1204,160,50.842310204,0.9588433333333334
30000,1204,170,56.800581052000005,0.9611766666666667
30000,1204,180,56.209644440000005,0.9633533333333333
30000,1204,190,61.81845924300001,0.9651733333333333
30000,1204,200,63.949729971000004,0.9673633333333334
