index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall
cspg,2,15,1250,3,818.823,151729536,1000,1|10,0.101531,639929,0.6
cspg,2,15,1250,3,818.823,151729536,1000,1|20,0.147576,934105,0.7682
cspg,2,15,1250,3,818.823,151729536,1000,1|30,0.180287,1192661,0.8473
cspg,2,15,1250,3,818.823,151729536,1000,1|40,0.202709,1439294,0.8929
cspg,2,15,1250,3,818.823,151729536,1000,1|50,0.230494,1675689,0.9246
cspg,2,15,1250,3,818.823,151729536,1000,1|60,0.25314,1904625,0.9458
cspg,2,15,1250,3,818.823,151729536,1000,1|70,0.276056,2134277,0.9593
cspg,2,15,1250,3,818.823,151729536,1000,1|80,0.31333,2366053,0.9675
cspg,2,15,1250,3,818.823,151729536,1000,1|90,0.336957,2591147,0.9753
cspg,2,15,1250,3,818.823,151729536,1000,1|100,0.375158,2819656,0.9792
cspg,2,15,1250,3,818.823,151729536,1000,1|110,0.377622,3038861,0.9844
cspg,2,15,1250,3,818.823,151729536,1000,1|120,0.442774,3263060,0.987
cspg,2,15,1250,3,818.823,151729536,1000,1|130,0.451225,3486698,0.9888
cspg,2,15,1250,3,818.823,151729536,1000,1|140,0.486204,3709923,0.9913
cspg,2,15,1250,3,818.823,151729536,1000,1|150,0.506021,3927372,0.9925
cspg,2,15,1250,3,818.823,151729536,1000,1|160,0.534129,4144683,0.994
cspg,2,15,1250,3,818.823,151729536,1000,1|170,0.564642,4364494,0.9952
cspg,2,15,1250,3,818.823,151729536,1000,1|180,0.593015,4576667,0.9958
cspg,2,15,1250,3,818.823,151729536,1000,1|190,0.637294,4791938,0.9965
cspg,2,15,1250,3,818.823,151729536,1000,1|200,0.643435,5005072,0.9978
cspg,2,15,1250,3,818.823,151729536,1000,1|210,0.686078,5213511,0.9978
cspg,2,15,1250,3,818.823,151729536,1000,1|220,0.725918,5423312,0.998
cspg,2,15,1250,3,818.823,151729536,1000,1|230,0.728666,5631719,0.9983
cspg,2,15,1250,3,818.823,151729536,1000,1|240,0.743736,5837525,0.9986
cspg,2,15,1250,3,818.823,151729536,1000,1|250,0.766963,6042822,0.9988
cspg,2,15,1250,3,818.823,151729536,1000,1|260,0.809754,6248536,0.9988
cspg,2,15,1250,3,818.823,151729536,1000,1|270,0.818188,6449950,0.9989
cspg,2,15,1250,3,818.823,151729536,1000,1|280,0.86346,6653911,0.9989
cspg,2,15,1250,3,818.823,151729536,1000,1|290,0.868497,6855600,0.9989
cspg,2,15,1250,3,818.823,151729536,1000,1|300,0.864456,7054673,0.9989
