LSH-APG,k,ef,query_time,recall,Cost,CPQ1,CPQ2,Pruning
LSH-APG,1,151,0.40125,1,1098.74,267.642,1366.38,0.611437
LSH-APG,10,160,0.39394,0.999,1141.47,275.616,1417.09,0.609539
LSH-APG,20,170,0.41327,0.9965,1190.75,283.661,1474.41,0.605702
LSH-APG,30,180,0.43402,0.995333,1239.12,290.451,1529.57,0.600466
LSH-APG,40,190,0.45031,0.99425,1287.52,296.772,1584.29,0.594771
LSH-APG,50,200,0.46929,0.993,1332.26,303.583,1635.84,0.591206
LSH-APG,60,210,0.48555,0.9935,1378.01,310.96,1688.97,0.588348
LSH-APG,70,220,0.57079,0.993,1423.78,317.58,1741.36,0.584536
LSH-APG,80,230,0.51379,0.992875,1467.43,323.972,1791.4,0.581173
LSH-APG,90,240,0.53225,0.992222,1512.24,330.315,1842.55,0.57756
LSH-APG,100,250,0.55036,0.9917,1558.74,335.512,1894.25,0.572026
LSH-APG,100,200,0.41336,0.9877,1417.45,269.18,1686.63,0.501979
LSH-APG,1,151,0.45193,1,1098.39,262.482,1360.87,0.602864
LSH-APG,10,160,0.44137,0.996,1141.84,270.335,1412.18,0.600758
LSH-APG,20,170,0.4595,0.996,1189.78,279.114,1468.89,0.598775
LSH-APG,30,180,0.48279,0.994667,1237.36,286.606,1523.97,0.595009
LSH-APG,40,190,0.50278,0.994,1286.07,292.792,1578.86,0.58905
LSH-APG,50,200,0.52375,0.9918,1332.37,300.104,1632.47,0.585866
LSH-APG,60,210,0.65893,0.992167,1378.47,307.178,1685.65,0.582552
LSH-APG,70,220,0.53956,0.992286,1421.43,313.803,1735.23,0.579663
LSH-APG,80,230,0.52776,0.992125,1466.56,319.749,1786.31,0.575278
LSH-APG,90,240,0.54473,0.991111,1513.01,326.361,1839.37,0.571668
LSH-APG,100,250,0.56275,0.9907,1558.64,332.028,1890.67,0.567084
LSH-APG,100,200,0.46013,0.9868,1415.89,267.647,1683.54,0.49929
LSH-APG,1,151,0.39677,1,1098.72,263.693,1362.41,0.604822
LSH-APG,10,160,0.39564,0.999,1141.16,270.622,1411.78,0.601476
LSH-APG,20,170,0.41424,0.996,1189.43,278.426,1467.86,0.597774
LSH-APG,30,180,0.43694,0.995667,1237.19,286.095,1523.29,0.59425
LSH-APG,40,190,0.4508,0.99525,1285.41,293.425,1578.83,0.590255
LSH-APG,50,200,0.46117,0.9926,1330.56,301.554,1632.11,0.588654
LSH-APG,60,210,0.47481,0.992667,1376.9,307.942,1684.84,0.584182
LSH-APG,70,220,0.49126,0.992714,1422.33,314.534,1736.86,0.580484
LSH-APG,80,230,0.50766,0.99225,1466.84,320.466,1787.31,0.576252
LSH-APG,90,240,0.52449,0.991333,1511.76,326.981,1838.74,0.572922
LSH-APG,100,250,0.54336,0.9915,1558.9,332.301,1891.2,0.567406
LSH-APG,100,200,0.40973,0.9875,1418.12,267.48,1685.6,0.498145
