index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq1,efq2,query_time,comparison,recall
cspg,2,32,1.2,128,147.797,1740000000,10000,1,10,0.0599664,5244870,0.86631
cspg,2,32,1.2,128,147.797,1740000000,10000,1,20,0.0993986,7275904,0.95216
cspg,2,32,1.2,128,147.797,1740000000,10000,1,30,0.127108,9139499,0.9774
cspg,2,32,1.2,128,147.797,1740000000,10000,1,40,0.166236,10934185,0.9875
cspg,2,32,1.2,128,147.797,1740000000,10000,1,50,0.200567,12695282,0.99361
cspg,2,32,1.2,128,147.797,1740000000,10000,1,60,0.224689,14423106,0.99604
cspg,2,32,1.2,128,147.797,1740000000,10000,1,70,0.255839,16118879,0.99729
cspg,2,32,1.2,128,147.797,1740000000,10000,1,80,0.28078,17783217,0.99807
cspg,2,32,1.2,128,147.797,1740000000,10000,1,90,0.298938,19418469,0.99854
cspg,2,32,1.2,128,147.797,1740000000,10000,1,100,0.316502,21035453,0.99905
cspg,2,32,1.2,128,147.797,1740000000,10000,1,110,0.339232,22627248,0.99935
cspg,2,32,1.2,128,147.797,1740000000,10000,1,120,0.378088,24189007,0.99944
cspg,2,32,1.2,128,147.797,1740000000,10000,1,130,0.397156,25730794,0.9995
cspg,2,32,1.2,128,147.797,1740000000,10000,1,140,0.436225,27256475,0.99965
cspg,2,32,1.2,128,147.797,1740000000,10000,1,150,0.436953,28757897,0.99975
cspg,2,32,1.2,128,147.797,1740000000,10000,1,160,0.472679,30239006,0.99978
cspg,2,32,1.2,128,147.797,1740000000,10000,1,170,0.519864,31708746,0.99981
cspg,2,32,1.2,128,147.797,1740000000,10000,1,180,0.54609,33161877,0.99983
cspg,2,32,1.2,128,147.797,1740000000,10000,1,190,0.566185,34597528,0.99986
cspg,2,32,1.2,128,147.797,1740000000,10000,1,200,0.591145,36018269,0.99987
cspg,2,32,1.2,128,147.797,1740000000,10000,1,210,0.605414,37421993,0.99989
cspg,2,32,1.2,128,147.797,1740000000,10000,1,220,0.63563,38817966,0.99989
cspg,2,32,1.2,128,147.797,1740000000,10000,1,230,0.641727,40197016,0.99991
cspg,2,32,1.2,128,147.797,1740000000,10000,1,240,0.629041,41568069,0.99991
cspg,2,32,1.2,128,147.797,1740000000,10000,1,250,0.676386,42926043,0.99992
cspg,2,32,1.2,128,147.797,1740000000,10000,1,260,0.655487,44269673,0.99993
cspg,2,32,1.2,128,147.797,1740000000,10000,1,270,0.653167,45605901,0.99994
cspg,2,32,1.2,128,147.797,1740000000,10000,1,280,0.678308,46927073,0.99994
cspg,2,32,1.2,128,147.797,1740000000,10000,1,290,0.708295,48237570,0.99994
cspg,2,32,1.2,128,147.797,1740000000,10000,1,300,0.710115,49543155,0.99995
cspg,2,32,1.2,128,147.797,1740000000,10000,2,10,0.0808461,5455869,0.86333
cspg,2,32,1.2,128,147.797,1740000000,10000,2,20,0.111726,7449804,0.95031
cspg,2,32,1.2,128,147.797,1740000000,10000,2,30,0.145221,9291615,0.97659
cspg,2,32,1.2,128,147.797,1740000000,10000,2,40,0.164367,11050422,0.98729
cspg,2,32,1.2,128,147.797,1740000000,10000,2,50,0.185504,12781734,0.99297
cspg,2,32,1.2,128,147.797,1740000000,10000,2,60,0.208858,14487300,0.99595
cspg,2,32,1.2,128,147.797,1740000000,10000,2,70,0.237741,16165764,0.99701
cspg,2,32,1.2,128,147.797,1740000000,10000,2,80,0.264422,17820660,0.99791
cspg,2,32,1.2,128,147.797,1740000000,10000,2,90,0.286688,19424587,0.99855
cspg,2,32,1.2,128,147.797,1740000000,10000,2,100,0.312197,21022473,0.99893
cspg,2,32,1.2,128,147.797,1740000000,10000,2,110,0.330555,22594019,0.99924
cspg,2,32,1.2,128,147.797,1740000000,10000,2,120,0.353364,24138831,0.99942
cspg,2,32,1.2,128,147.797,1740000000,10000,2,130,0.38614,25665474,0.99947
cspg,2,32,1.2,128,147.797,1740000000,10000,2,140,0.393584,27184109,0.99959
cspg,2,32,1.2,128,147.797,1740000000,10000,2,150,0.417848,28676633,0.99971
cspg,2,32,1.2,128,147.797,1740000000,10000,2,160,0.473163,30147273,0.99975
cspg,2,32,1.2,128,147.797,1740000000,10000,2,170,0.49435,31601892,0.99982
cspg,2,32,1.2,128,147.797,1740000000,10000,2,180,0.520883,33047370,0.99984
cspg,2,32,1.2,128,147.797,1740000000,10000,2,190,0.530475,34467067,0.99985
cspg,2,32,1.2,128,147.797,1740000000,10000,2,200,0.55845,35881277,0.99986
cspg,2,32,1.2,128,147.797,1740000000,10000,2,210,0.572845,37266475,0.99988
cspg,2,32,1.2,128,147.797,1740000000,10000,2,220,0.605123,38659837,0.99989
cspg,2,32,1.2,128,147.797,1740000000,10000,2,230,0.63115,40035579,0.9999
cspg,2,32,1.2,128,147.797,1740000000,10000,2,240,0.638478,41398424,0.9999
cspg,2,32,1.2,128,147.797,1740000000,10000,2,250,0.663841,42746778,0.99991
cspg,2,32,1.2,128,147.797,1740000000,10000,2,260,0.683957,44082800,0.99992
cspg,2,32,1.2,128,147.797,1740000000,10000,2,270,0.706968,45410615,0.99993
cspg,2,32,1.2,128,147.797,1740000000,10000,2,280,0.732129,46726853,0.99993
cspg,2,32,1.2,128,147.797,1740000000,10000,2,290,0.743136,48031017,0.99993
cspg,2,32,1.2,128,147.797,1740000000,10000,2,300,0.774892,49323646,0.99994
cspg,2,32,1.2,128,147.797,1740000000,10000,4,10,0.0831403,5468800,0.86221
cspg,2,32,1.2,128,147.797,1740000000,10000,4,20,0.113934,7458295,0.95057
cspg,2,32,1.2,128,147.797,1740000000,10000,4,30,0.145551,9303031,0.97672
cspg,2,32,1.2,128,147.797,1740000000,10000,4,40,0.17646,11074225,0.98724
cspg,2,32,1.2,128,147.797,1740000000,10000,4,50,0.202356,12801292,0.99313
cspg,2,32,1.2,128,147.797,1740000000,10000,4,60,0.226174,14514060,0.99583
cspg,2,32,1.2,128,147.797,1740000000,10000,4,70,0.257551,16188261,0.997
cspg,2,32,1.2,128,147.797,1740000000,10000,4,80,0.27922,17847702,0.99799
cspg,2,32,1.2,128,147.797,1740000000,10000,4,90,0.28101,19458162,0.99851
cspg,2,32,1.2,128,147.797,1740000000,10000,4,100,0.308842,21054983,0.99895
cspg,2,32,1.2,128,147.797,1740000000,10000,4,110,0.328091,22623830,0.9992
cspg,2,32,1.2,128,147.797,1740000000,10000,4,120,0.357605,24183032,0.99935
cspg,2,32,1.2,128,147.797,1740000000,10000,4,130,0.379155,25718022,0.99949
cspg,2,32,1.2,128,147.797,1740000000,10000,4,140,0.391513,27220190,0.99963
cspg,2,32,1.2,128,147.797,1740000000,10000,4,150,0.420056,28719700,0.99974
cspg,2,32,1.2,128,147.797,1740000000,10000,4,160,0.440811,30186393,0.99975
cspg,2,32,1.2,128,147.797,1740000000,10000,4,170,0.47438,31652646,0.99981
cspg,2,32,1.2,128,147.797,1740000000,10000,4,180,0.506399,33099541,0.99982
cspg,2,32,1.2,128,147.797,1740000000,10000,4,190,0.551706,34522088,0.99985
cspg,2,32,1.2,128,147.797,1740000000,10000,4,200,0.568159,35929501,0.99986
cspg,2,32,1.2,128,147.797,1740000000,10000,4,210,0.591266,37326730,0.99988
cspg,2,32,1.2,128,147.797,1740000000,10000,4,220,0.618577,38719711,0.99989
cspg,2,32,1.2,128,147.797,1740000000,10000,4,230,0.63592,40091348,0.9999
cspg,2,32,1.2,128,147.797,1740000000,10000,4,240,0.6831,41452078,0.9999
cspg,2,32,1.2,128,147.797,1740000000,10000,4,250,0.699821,42804648,0.99991
cspg,2,32,1.2,128,147.797,1740000000,10000,4,260,0.716976,44145581,0.99992
cspg,2,32,1.2,128,147.797,1740000000,10000,4,270,0.738244,45474925,0.99993
cspg,2,32,1.2,128,147.797,1740000000,10000,4,280,0.761634,46791114,0.99993
cspg,2,32,1.2,128,147.797,1740000000,10000,4,290,0.784383,48103578,0.99993
cspg,2,32,1.2,128,147.797,1740000000,10000,4,300,0.800949,49404618,0.99994
cspg,2,32,1.2,128,147.797,1740000000,10000,8,10,0.079274,5632718,0.86323
cspg,2,32,1.2,128,147.797,1740000000,10000,8,20,0.11171,7663836,0.95103
cspg,2,32,1.2,128,147.797,1740000000,10000,8,30,0.141025,9508402,0.9767
cspg,2,32,1.2,128,147.797,1740000000,10000,8,40,0.16725,11316251,0.98785
cspg,2,32,1.2,128,147.797,1740000000,10000,8,50,0.198232,13069854,0.99325
cspg,2,32,1.2,128,147.797,1740000000,10000,8,60,0.224102,14783236,0.99593
cspg,2,32,1.2,128,147.797,1740000000,10000,8,70,0.255168,16484538,0.99704
cspg,2,32,1.2,128,147.797,1740000000,10000,8,80,0.283489,18147643,0.99801
cspg,2,32,1.2,128,147.797,1740000000,10000,8,90,0.309895,19789656,0.99846
cspg,2,32,1.2,128,147.797,1740000000,10000,8,100,0.332639,21396243,0.99896
cspg,2,32,1.2,128,147.797,1740000000,10000,8,110,0.356709,22987866,0.99928
cspg,2,32,1.2,128,147.797,1740000000,10000,8,120,0.387595,24546328,0.99939
cspg,2,32,1.2,128,147.797,1740000000,10000,8,130,0.413612,26079271,0.99944
cspg,2,32,1.2,128,147.797,1740000000,10000,8,140,0.439793,27617413,0.99957
cspg,2,32,1.2,128,147.797,1740000000,10000,8,150,0.471194,29116867,0.99974
cspg,2,32,1.2,128,147.797,1740000000,10000,8,160,0.488284,30599217,0.99976
cspg,2,32,1.2,128,147.797,1740000000,10000,8,170,0.502437,32063197,0.9998
cspg,2,32,1.2,128,147.797,1740000000,10000,8,180,0.533357,33513299,0.99983
cspg,2,32,1.2,128,147.797,1740000000,10000,8,190,0.545604,34949109,0.99986
cspg,2,32,1.2,128,147.797,1740000000,10000,8,200,0.573067,36375519,0.99987
cspg,2,32,1.2,128,147.797,1740000000,10000,8,210,0.599232,37774496,0.99989
cspg,2,32,1.2,128,147.797,1740000000,10000,8,220,0.625849,39171516,0.99989
cspg,2,32,1.2,128,147.797,1740000000,10000,8,230,0.650219,40545067,0.99991
cspg,2,32,1.2,128,147.797,1740000000,10000,8,240,0.671252,41920991,0.99991
cspg,2,32,1.2,128,147.797,1740000000,10000,8,250,0.689142,43278320,0.99991
cspg,2,32,1.2,128,147.797,1740000000,10000,8,260,0.711145,44621496,0.99992
cspg,2,32,1.2,128,147.797,1740000000,10000,8,270,0.73217,45957562,0.99994
cspg,2,32,1.2,128,147.797,1740000000,10000,8,280,0.757626,47275682,0.99993
cspg,2,32,1.2,128,147.797,1740000000,10000,8,290,0.780085,48587369,0.99993
cspg,2,32,1.2,128,147.797,1740000000,10000,8,300,0.794824,49884409,0.99994
cspg,2,32,1.2,128,147.797,1740000000,10000,16,10,0.0973065,7133603,0.87574
cspg,2,32,1.2,128,147.797,1740000000,10000,16,20,0.126038,9239848,0.9551
cspg,2,32,1.2,128,147.797,1740000000,10000,16,30,0.154632,11162449,0.97841
cspg,2,32,1.2,128,147.797,1740000000,10000,16,40,0.180969,13013149,0.9884
cspg,2,32,1.2,128,147.797,1740000000,10000,16,50,0.210208,14802443,0.99405
cspg,2,32,1.2,128,147.797,1740000000,10000,16,60,0.241487,16559714,0.99637
cspg,2,32,1.2,128,147.797,1740000000,10000,16,70,0.264797,18276949,0.99737
cspg,2,32,1.2,128,147.797,1740000000,10000,16,80,0.297403,19962676,0.99822
cspg,2,32,1.2,128,147.797,1740000000,10000,16,90,0.320306,21611238,0.99857
cspg,2,32,1.2,128,147.797,1740000000,10000,16,100,0.349799,23245915,0.999
cspg,2,32,1.2,128,147.797,1740000000,10000,16,110,0.377371,24841537,0.99932
cspg,2,32,1.2,128,147.797,1740000000,10000,16,120,0.395532,26415922,0.99942
cspg,2,32,1.2,128,147.797,1740000000,10000,16,130,0.423835,27964885,0.99946
cspg,2,32,1.2,128,147.797,1740000000,10000,16,140,0.455272,29503350,0.99959
cspg,2,32,1.2,128,147.797,1740000000,10000,16,150,0.478706,31009355,0.99973
cspg,2,32,1.2,128,147.797,1740000000,10000,16,160,0.502236,32498864,0.99975
cspg,2,32,1.2,128,147.797,1740000000,10000,16,170,0.52324,33973455,0.9998
cspg,2,32,1.2,128,147.797,1740000000,10000,16,180,0.552175,35426410,0.99983
cspg,2,32,1.2,128,147.797,1740000000,10000,16,190,0.569298,36869903,0.99985
cspg,2,32,1.2,128,147.797,1740000000,10000,16,200,0.595677,38296141,0.99986
cspg,2,32,1.2,128,147.797,1740000000,10000,16,210,0.611763,39703766,0.99988
cspg,2,32,1.2,128,147.797,1740000000,10000,16,220,0.623078,41102068,0.99989
cspg,2,32,1.2,128,147.797,1740000000,10000,16,230,0.660005,42484730,0.99991
cspg,2,32,1.2,128,147.797,1740000000,10000,16,240,0.673865,43857532,0.9999
cspg,2,32,1.2,128,147.797,1740000000,10000,16,250,0.696072,45215090,0.99992
cspg,2,32,1.2,128,147.797,1740000000,10000,16,260,0.726076,46562665,0.99993
cspg,2,32,1.2,128,147.797,1740000000,10000,16,270,0.730408,47902813,0.99993
cspg,2,32,1.2,128,147.797,1740000000,10000,16,280,0.758815,49225010,0.99994
cspg,2,32,1.2,128,147.797,1740000000,10000,16,290,0.771158,50536657,0.99993
cspg,2,32,1.2,128,147.797,1740000000,10000,16,300,0.795506,51845159,0.99995
