index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq,query_time,comparison,recall,w
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 10, 0.0257374, 1658087, 0.16068, 0.23653
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 20, 0.0315888, 3121104, 0.61714, 0.55058
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 30, 0.044733, 4531739, 0.76217, 0.692313
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 40, 0.058778, 5920259, 0.82572, 0.766942
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 50, 0.0759314, 7294963, 0.8636, 0.81262
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 60, 0.0916059, 8662420, 0.88805, 0.843365
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 70, 0.110367, 10017939, 0.90572, 0.865479
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 80, 0.134142, 11362955, 0.91847, 0.882167
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 90, 0.155939, 12706631, 0.92798, 0.895162
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 100, 0.17994, 14043013, 0.93643, 0.905567
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 110, 0.211511, 15375472, 0.94327, 0.914101
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 120, 0.241387, 16700716, 0.94872, 0.92122
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 130, 0.274392, 18020004, 0.95326, 0.92726
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 140, 0.316058, 19330236, 0.95665, 0.932431
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 150, 0.364456, 20643588, 0.95994, 0.936923
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 160, 0.384729, 21958166, 0.96279, 0.940853
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 170, 0.434009, 23268864, 0.96522, 0.944321
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 180, 0.472231, 24577991, 0.96727, 0.947407
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 190, 0.51406, 25877317, 0.96888, 0.950169
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 200, 0.581689, 27177286, 0.97052, 0.952657
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 210, 0.637445, 28470267, 0.97201, 0.954905
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 220, 0.694745, 29768842, 0.97358, 0.956948
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 230, 0.749499, 31059934, 0.97504, 0.958817
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 240, 0.861638, 32347528, 0.97625, 0.96053
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 250, 0.892623, 33631596, 0.97729, 0.962107
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 260, 0.926379, 34920990, 0.97831, 0.963563
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 270, 0.998923, 36208076, 0.9793, 0.96491
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 280, 1.12587, 37495913, 0.98, 0.966161
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 290, 1.1515, 38779079, 0.98076, 0.967328
hcnng, 1, 10, 1000, 5, 19.5325, 10600896, 10000, 300, 1.22394, 40060399, 0.98152, 0.968417
